,Track_id,Name,Album,Artist,Release_Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentness,Liveness,Loudness,Valence,Speechness,Tempo,Time_Signature
307,76OGwb5RA9h4FxQPT33ekc,SNAP,SNAP,Rosa Linn,2022-03-19,179551,87,0.107,0.565,0.636,9.9e-06,0.447,-8.198,0.525,0.0638,170.01,4
308,06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,2016-01-29,217706,85,0.621,0.728,0.563,0.0,0.179,-8.053,0.352,0.134,100.017,4
309,4v7DCN09hgXkKazefkznDQ,Lonely,Trouble Deluxe Edition,Akon,2005-01-01,235800,80,0.339,0.634,0.526,0.0,0.257,-7.881,0.623,0.0333,90.087,4
310,7qeFZBtwxzb6quQsnsPpOJ,one dance (slowed + reverb) - Remix,one dance (slowed + reverb) [Remix],Muppet DJ,2022-12-27,273397,46,0.0209,0.527,0.609,0.0807,0.353,-9.866,0.0379,0.248,136.437,4
311,3M214U0mwSm041GsQR3nrO,Toxic,Serotonin Dreams,BoyWithUke,2022-05-06,168066,78,0.749,0.609,0.619,0.0,0.264,-5.677,0.689,0.311,179.71,4
312,47UFoOuvrkt4khE7c5aap6,Cradles,Cradles,Sub Urban,2019-01-04,209829,77,0.265,0.537,0.586,7.04e-05,0.175,-1.864,0.624,0.314,79.056,4
313,7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Build a Bitch,Bella Poarch,2021-05-14,122772,74,0.217,0.855,0.463,1.77e-05,0.347,-7.454,0.866,0.0367,102.931,4
314,2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Safe Haven,Ruth B.,2017-05-05,233720,89,0.0157,0.609,0.692,0.0,0.0864,-2.958,0.454,0.0259,116.959,3
315,0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,A/B,KALEO,2016-06-10,213706,86,0.579,0.489,0.505,0.000333,0.104,-8.022,0.337,0.117,163.255,4
316,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,2022-04-22,176440,90,0.777,0.551,0.55,0.0,0.202,-5.339,0.342,0.0286,101.19,3
317,4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-09-28,212500,76,0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0.617,0.228,95.881,4
